'ID_CLIENTE';'NOME_ALTERNATIVO';'END_CIDADE';'END_UF';'STATUS'
129;'TENARIS_CONFAB';'PINDAMONHANGABA';'SP';'A'
130;'CONSORCIO VIGESA';'RIO DE JANEIRO';'RJ';'C'
131;'CONST CARAM';'Sao Paulo';'SP';'A'
132;'CONSTRUPLAN';'RIBEIRAO PRETO';'SP';'A'
133;'CONSULCOM';'Sao Paulo';'SP';'A'
134;'COPERLAB';'Sao Paulo';'SP';'C'
136;'COSIPA';'Cubatao';'SP';'A'
138;'CRISTALIA_QUIM_FARM';'ITAPIRA';'SP';'A'
139;'CSL';'SAO PAULO';'SP';'C'
140;'CTA/VL_ACACIAS';'SAO JOSE DOS CAMPOS';'SP';'C'
141;'CTA/CENTRO_TEC_AEROESPACIAL';'Sao Jose dos Campos';'SP';'A'
142;'CURT & ALEX';'SAO PAULO';'SP';'C'
145;'VALE_ITABIRA';'ITABIRA';'MG';'A'
148;'SERVATIS_RESENDE';'Resende';'RJ';'A'
149;'DACARTO_IND_PLASTICO';'Osasco';'SP';'A'
150;'DAN HERBERT';'BRASILIA';'DF';'C'
151;'DANISCO/PIRAPOZINHO';'Pirapozinho';'SP';'A'
152;'GE_BETZ_COTIA';'COTIA';'SP';'A'
153;'DEARBORN/COTIA';'COTIA';'SP';'C'
154;'DENAR';'SAO CAETANO DO SUL';'SP';'C'
155;'MURTA_QUIMICA_DENVER';'Cotia';'SP';'A'
156;'DENVER/SUZANO2';'Suzano';'SP';'A'
157;'DIVERSEY';'BARUERI';'SP';'C'
158;'DMH';'BRASILIA';'DF';'C'
159;'DOVIL_IND_COMERCIO';'Sao Paulo';'SP';'A'
160;'DOW_AGROSCIENCES';'FRANCO DA ROCHA';'SP';'A'
161;'DOW_AGROSCIENCES_MOGI';'MOGI MIRIM';'SP';'A'
162;'DOW_QUIMICA_NE_BAHIA';'Candeias';'BA';'C'
163;'DOW/GUARUJA';'GUARUJA';'SP';'A'
165;'DUAS RODAS';'JARAGUA DO SUL';'SC';'A'
166;'DURATEX/PAULISTA';'SAO PAULO';'SP';'A'
167;'DVT ENGA';'BRASILIA';'DF';'C'
168;'DYSTAR/SOCORRO';'Sao Paulo';'SP';'A'
169;'ECATU';'FORTALEZA';'CE';'C'
170;'EDIF PLANALTO';'SAO PAULO';'SP';'C'
171;'EDN PRODUTOS';'Nova Iguacu';'RJ';'C'
172;'ELETROBRAS';'ANGRA DOS REIS';'RJ';'A'
173;'ELETROPAULO/A EGIDIO';'SAO PAULO';'SP';'C'
174;'ELLO';'SAO BERNARDO DO CAMPO';'SP';'C'
175;'EMBACAPS';'CURITIBA';'PR';'C'
176;'EMBRAPA/CORUMBA';'Corumba';'MS';'A'
177;'EMBRATEL';'SAO PAULO';'SP';'C'
178;'ENCA_PRODS_QUIMICOS';'Camacari';'BA';'A'
179;'ENMAC/SJC';'SAO JOSE DOS CAMPOS';'SP';'C'
181;'ESFRASAL';'RIBEIRAO DAS NEVES';'MG';'C'
182;'ESSEL ENGA';'RIO DE JANEIRO';'RJ';'C'
183;'EUCATEX/BOTUCATU';'Botucatu';'SP';'A'
184;'EUCATEX/SALTO1';'SAO PAULO';'SP';'A'
185;'FUND_NAC_SAUDE';'BELEM';'PA';'A'
186;'EXOM_ARTIGOS_LABORATORIO';'SÃO PAULO';'SP';'A'
187;'EXXA';'TABOAO DA SERRA';'SP';'C'
188;'F MAIA';'COTIA';'SP';'C'
189;'FABER CASTELL';'SAO CARLOS';'SP';'A'
190;'FACEPE';'RECIFE';'PE';'C'
192;'FADEPE/UFJF';'Juiz de Fora';'MG';'A'
193;'FAIRWAY/OSASCO';'OSASCO';'SP';'C'
194;'RHODIA_STO_ANDRE';'SANTO ANDRE';'SP';'A'
196;'FAP/RJ';'Rio de Janeiro';'RJ';'C'
197;'FARM_ MONTE_ ALEGRE';'São Caetano do Sul';'SP';'A'
198;'FAC_CIENC_FARM_ARARA';'ARARAQUARA';'SP';'C'
199;'FEEMA';'Rio de Janeiro';'RJ';'C'
201;'FERTECO_OURO_PRETO';'OURO PRETO';'MG';'C'
202;'FGG_VIDRARIAS';'SAO PAULO';'SP';'A'
203;'FIEO';'Osasco';'SP';'A'
204;'FFCLRP_USP_RIBEIRAO_PRETO';'Ribeirao Preto';'SP';'A'
206;'FIRMENICH';'COTIA';'SP';'A'
208;'FMC/UBERABA';'UBERABA';'MG';'A'
209;'FNS/DF';'Brasilia';'DF';'A'
210;'FORMULA ATIVA';'CAMPO MOURAO';'PR';'C'
211;'FOSECO/M CRUZES';'MOGI DAS CRUZES';'SP';'C'
212;'FRIGOBRAS/PARANA';'TOLEDO';'PR';'C'
213;'FRISMOLDUCAR';'SAO BERNARDO DO CAMPO';'SP';'C'
214;'FULGURIS';'GUARULHOS';'SP';'C'
216;'FUNDACENTRO/SP';'SAO PAULO';'SP';'A'
220;'GABONE_COML_CIENTIF';'RIO DE JANEIRO';'RJ';'C'
221;'GEC ALSTHOM';'SAO BERNARDO DO CAMPO';'SP';'C'
222;'GENERAL ELETRIC';'CAMPINAS';'SP';'C'
224;'GESSY/JUNDIAI';'JUNDIAI';'SP';'C'
225;'GESSY/SP1';'São Paulo';'SP';'A'
226;'UNILEVER_BRASIL';'Valinhos';'SP';'A'
229;'MARCO_GIULIETTI';'SAO PAULO';'SP';'C'
230;'GIVAUDAN_DO_BRASIL_LTDA';'SAO PAULO';'SP';'A'
231;'GL_LABORATORIES';'Guarulhos';'SP';'A'
232;'GLOBO 2';'GUARULHOS';'SP';'C'
233;'GRACE/SAO PAULO';'SAO PAULO';'SP';'C'
235;'GUGER';'SAO PAULO';'SP';'C'
236;'HAARMANN/DOMINGOS';'SAO PAULO';'SP';'C'
238;'CONSTRUTORA_HAHNE';'BLUMENAU';'SC';'C'
239;'DONNELLY_COCHRANE';'Sao Paulo';'SP';'A'
240;'HELIOS';'BARUERI';'SP';'C'
241;'HEMOCENTRO/ENEAS1';'Sao Paulo';'SP';'C'
242;'COGNIS';'Jacarei';'SP';'A'
243;'HERBERTS/CAIERAS';'CAIEIRAS';'SP';'C'
244;'HERBITECNICA';'LONDRINA';'PR';'C'
245;'HOECHST/SUZANO1';'Suzano';'SP';'C'
246;'HOKKO';'Salto de Pirapora';'SP';'C'
248;'HOSP_ALIANCA_SALVADOR';'SALVADOR';'BA';'A'
249;'HOSP_MAT_BRASIL/STO_ANDRE1';'Santo Andre';'SP';'A'
250;'IBA/FORTALEZA';'FORTALEZA';'CE';'C'
251;'IBRAM_INSTALACOES';'SAO PAULO';'SP';'C'
254;'ICB3';'SAO PAULO';'SP';'C'
256;'CIA_IGUACU_CAFE';'Cornelio Procopio';'PR';'A'
257;'IMPACTO';'Belo Horizonte';'MG';'A'
258;'IMPORTEC';'Fortaleza';'CE';'A'
259;'INST_MAUA_SCS';'SAO CAETANO DO SUL';'SP';'A'
260;'INBRA_INDS_QUIMICAS';'Diadema';'SP';'A'
261;'INONIBRAS';'Pirapora';'MG';'A'
262;'INSTRULAB';'PORTO ALEGRE';'RS';'A'
263;'INTERQUIMICA';'FORTALEZA';'CE';'C'
265;'IPIRANGA/RS2';'Triunfo';'RS';'C'
267;'ITAIPAVA_EMBALAGENS';'SAO PAULO';'SP';'C'
269;'ITAOCARA';'MARINGA';'PR';'C'
270;'ITAP/CROMEX';'SAO PAULO';'SP';'C'
272;'ITEC_SALVADOR';'SALVADOR';'BA';'A'
273;'JOCKEY SAO PAULO';'SAO PAULO';'SP';'A'
274;'JANSSEN_JOHNSON/SJC''';'SAO JOSE DOS CAMPOS';'SP';'A'
276;'JP ENGENHARIA';'CUIABA';'MT';'C'
277;'K_M_QUIMICA';'Porto Alegre';'RS';'A'
278;'KIMBERLY_CRUZEIRO';'Suzano';'SP';'A'
281;'KNOLL';'Rio de Janeiro';'RJ';'C'
282;'KODAK/SJC';'SAO JOSE DOS CAMPOS';'SP';'C'
283;'LAB DR ROSELI';'RIO DE JANEIRO';'RJ';'C'
284;'LAB JACK';'SAO PAULO';'SP';'C'
285;'LABLAR_EQUIP_LAB';'Barueri';'SP';'C'
286;'LABNORTE_COMERCIAL';'SALVADOR';'BA';'C'
287;'LABOQUIMICA_COM';'Salvador';'BA';'C'
288;'LABORGLAS';'Sao Paulo';'SP';'A'
289;'LABORLEX';'SAO PAULO';'SP';'C'
290;'LABORPEQ';'PORTO ALEGRE';'RS';'C'
292;'LACTEA_AP_CIENT_ELET';'SAO PAULO';'SP';'C'
293;'LASER_QUIMICA';'CAMPINAS';'SP';'C'
294;'LATASA/M GERAIS';'Pouso Alegre';'MG';'C'
295;'LAV ANDREA';'SAO PAULO';'SP';'C'
296;'LAVOISIER';'SAO PAULO';'SP';'C'
297;'GELITA_COTIA';'COTIA';'SP';'A'
298;'GELITA_MARINGA';'MARINGA';'PR';'A'
299;'LEISER';'COSMOPOLIS';'SP';'C'
300;'LEITE_PAULISTA/SP';'SAO PAULO';'SP';'C'
301;'LGA_ENGENHARIA';'BRASILIA';'DF';'A'
303;'LINDOIANO';'LINDOIA';'SP';'C'
304;'LIOTECNICA_IND_COM';'EMBU DAS ARTES';'SP';'A'
305;'HENKEL_ITAPEVI';'Itapevi';'SP';'A'
306;'M_CASSAB_COM_IND_LTDA';'São Paulo';'SP';'A'
307;'M FERNANDEZ';'RIO DE JANEIRO';'RJ';'C'
308;'MACCHI';'SAO PAULO';'SP';'C'
310;'MAGNETI/HORTOLANDIA';'HORTOLANDIA';'SP';'A'
311;'MALIBU';'ITATIBA';'SP';'C'
312;'MANAH/SAO PAULO';'SAO PAULO';'SP';'C'
313;'MANCHESTER CHEMICAL';'Sao Paulo';'SP';'C'
314;'MANCHESTER_QUIMICA';'Criciuma';'SC';'A'
316;'MARTE_BALANCAS/SP';'SAO PAULO';'SP';'C'
317;'MASSASHI/ELISIO';'SAO PAULO';'SP';'C'
318;'MATHEUS LEME';'SAO PAULO';'SP';'C'
320;'MB INDUSTRIA';'SANTANA DE PARNAIBA';'SP';'C'
321;'MBR_MINERACOES_BRASILEIRAS';'Nova Lima';'MG';'C'
322;'CEFET/PONTA_GROSSA';'PONTA GROSSA';'PR';'C'
324;'MERCEDES';'SAO BERNARDO DO CAMPO';'SP';'A'
325;'MERCOLAB_PRODUTOS';'Porto Alegre';'RS';'A'
326;'MERSE_ARTIGOS_LABORATORIOS';'Campinas';'SP';'A'
327;'MICRONUTRIENTES';'SAO CAETANO DO SUL';'SP';'C'
329;'MILITAO_MAT_LABORATORIOS';'Sao Paulo';'SP';'A'
330;'MONSANTO_CAMBUCI';'SAO PAULO';'SP';'C'
331;'MONSANTO/SJC';'SAO JOSE DOS CAMPOS';'SP';'A'
332;'MORELLI';'SAO CARLOS';'SP';'C'
333;'MORRO VELHO';'NOVA LIMA';'MG';'C'
334;'IBRAM_MOVEIS';'SAO PAULO';'SP';'A'
335;'MULTIBRAS/SBC';'SAO BERNARDO DO CAMPO';'SP';'C'
336;'MUNILAB';'Ribeirao Preto';'SP';'C'
337;'NALCO_BRASIL';'Suzano';'SP';'A'
338;'NASCENTE AGRO';'SAO GOTARDO';'MG';'C'
339;'NATRIUM';'Sao Paulo';'SP';'C'
342;'NEMESIS';'SAO PAULO';'SP';'C'
343;'NESTLE/BARRA MANSA';'BARRA MANSA';'RJ';'C'
344;'NESTLE/MARILIA';'Marilia';'SP';'A'
345;'NESTLE_SP';'SAO PAULO';'SP';'A'
347;'NITRIFLEX_IND_COM_LTDA';'DUQUE DE CAXIAS';'RJ';'A'
348;'NORTOX/SAO PAULO';'SAO PAULO';'SP';'C'
349;'NOVA TECNICA';'PIRACICABA';'SP';'C'
351;'NOVARTIS/STO AMARO';'SAO PAULO';'SP';'C'
354;'O_BOSQUE';'SANTO ANDRE';'SP';'C'
355;'CONSTR_OAS';'Sao Paulo';'SP';'A'
356;'OBJETIVO/LUIS GOIS';'SAO PULO';'SP';'C'
357;'OMEGA COMERCIO';'BELO HORIZONTE';'MG';'C'
358;'OPP_PETROQUIMICA_RS';'TRIUNFO';'RS';'C'
359;'POLIETILENOS_UNIAO';'Sto Andre';'SP';'A'
361;'OTIS';'SAO BERNARDO DO CAMP';'SP';'C'
362;'OXITENO/MAUA1';'MAUA';'SP';'C'
364;'OXITENO/TREMEMBE';'Tremembe';'SP';'A'
366;'PAPAIZ_IND_COM';'DIADEMA';'SP';'C'
367;'PARA _ANALISES_MAT_LAB';'SAO BERNARDO DO CAMPO';'SP';'C'
368;'PEDROSO';'SAO PAULO';'SP';'C'
369;'PEMEM';'TABOAO DA SERRA';'SP';'C'
370;'PEROXIDOS';'Curitiba';'PR';'A'
371;'PETROBRAS/BELEM';'BELEM';'PA';'C'
374;'PETROBRAS/D CAXIAS/REDUC';'DUQUE DE CAXIAS';'RJ';'A'
375;'PETROBRAS/MACAE';'Macae';'RJ';'A'
376;'PETROBRAS/MATARIPE';'SAO FRANCISCO DO CONDE';'BA';'A'
379;'PHILIP MORRIS/PR';'CURITIBA';'PR';'C'
381;'PINACOTECA/SP';'São Paulo';'SP';'A'
382;'PINATO';'MANAUS';'AM';'C'
384;'PIRELLI/CAMPINAS';'CAMPINAS';'SP';'A'
385;'PIRELLI/CERQUILHO';'CERQUILHO';'SP';'C'
387;'PIRELLI/SOROCABA_PRYSMIAN';'Sorocaba';'SP';'A'
389;'PLASTINO';'RIBEIRAO PRETO';'SP';'C'
390;'PREF_MUNIC_CAMPINAS';'CAMPINAS';'SP';'C'
391;'POLILUX';'GUARULHOS';'SP';'C'
392;'COIM_BRASIL';'Vinhedo';'SP';'A'
393;'PARA_PIGMENTOS';'Barcarena';'PA';'A'
395;'PR COLA/SP';'Sao Paulo';'SP';'C'
396;'PREFEITURA/SJC';'SAO JOSE DOS CAMPOS';'SP';'C'
397;'PROBIT';'SAO PAULO';'SP';'C'
398;'PRODOME';'CAMPINAS';'SP';'C'
400;'PROJ LAB';'PAULINIA';'SP';'C'
401;'PROLAB';'SAO PAULO';'SP';'C'
402;'PROMOLAB';'SAO PAULO';'SP';'C'
403;'PROQUIMICA_LABORATORIOS';'SALVADOR';'BA';'A'
404;'QUEST';'Vinhedo';'SP';'A'
406;'QUIMICALAB_COM_IMP';'SAO PAULO';'SP';'C'
408;'QUIMINAL';'SAO PAULO';'SP';'C'
409;'RANGEL';'JOAO PESSOA';'PB';'C'
410;'RECIPAR';'PINDAMONHAMGABA';'SP';'C'
411;'RECIPAR/SAO PAULO';'SAO PAULO';'SP';'C'
412;'RECOFARMA/AM';'Manaus';'AM';'A'
413;'RED_IND_COM_VIDROS';'SÃO PAULO';'SP';'C'
414;'REFREX_IND_COM';'Cacapava';'SP';'A'
415;'RENCIL_REPR';'MACEIO';'AL';'C'
416;'RESILITY';'Ferraz de Vasconcelos';'SP';'C'
417;'RESINAR';'DIADEMA';'SP';'A'
418;'REZENDE';'UBERLANDIA';'MG';'C'
419;'AVENTIS_PHARMA_JURUBATUBA';'SAO PAULO';'SP';'C'
420;'RHODIA/PAULINIA';'PAULINIA';'SP';'A'
421;'RHODIA/STO ANDRE2';'SANTO ANDRE';'SP';'C'
422;'RL_EQUIP_LAB';'RIO DE JANEIRO';'RJ';'C'
423;'RM MANUTENCAO';'SAO PAULO';'SP';'C'
424;'ROBERTET_IND_COM';'Barueri';'SP';'A'
425;'ROCHE_RJ';'RIO DE JANEIRO';'RJ';'A'
426;'RONI ALZI';'Rio de Janeiro';'RJ';'C'
427;'RONURO';'Sao Paulo';'SP';'C'
428;'ROTARIANOS/SP';'Sao Paulo';'SP';'A'
429;'SR_PROD_LABORATORIOS';'Porto Alegre';'RS';'A'
430;'SAAE_ATIBAIA';'Atibaia';'SP';'A'
431;'SABESP/BARUERI';'BARUERI';'SP';'C'
432;'SABESP_PONTE_PEQUENA';'Sao Paulo';'SP';'A'
433;'SABESP/C_CESAR';'SAO PAULO';'SP';'C'
434;'SADIA/CONCORDIA';'Concordia';'SC';'C'
435;'SADIA/SAO PAULO/BRF';'Sao Paulo';'SP';'A'
436;'SANOFI_SYNTHELABO';'Rio de Janeiro';'RJ';'A'
437;'SANTA IZABEL';'CAMPINAS';'SP';'C'
438;'HEXIS_ARARAQUARA';'ARARAQUARA';'SP';'C'
440;'RENNER_SAYERLACK_SP';'CAJAMAR';'SP';'A'
441;'SCANDIFLEX_DO_BRASIL';'MAUA';'SP';'A'
444;'SENAI_R_SIMONSEN';'SAO PAULO';'SP';'C'
445;'SENAI/TOCANTINS';'ARAGUAINA';'TO';'C'
447;'SERHA';'BELO HORIZONTE';'MG';'C'
450;'SHELL/PAULINIA';'PAULINIA';'SP';'C'
452;'SIBRALAB';'RIBEIRAO PRETO';'SP';'C'
453;'SIEGLING';'ITAPEVI';'SP';'C'
454;'SIEMENS/JUNDIAI';'JUNDIAI';'SP';'A'
455;'SIKA_S/A_OSASCO';'OSASCO';'SP';'A'
457;'NOVA_ERA_SILICON';'NOVA ERA';'MG';'A'
458;'SILVIA';'SAO PAULO';'SP';'C'
459;'SIMIONATO_MARIA';'SAO PAULO';'SP';'C'
460;'SIMONE';'RECIFE';'PE';'C'
461;'SNC';'BELO HORIZONTE';'MG';'C'
462;'SOEICOM';'VESPASIANO';'MG';'A'
465;'SOMATER_ESCOLA_DA_VILA';'SAO PAULO';'SP';'A'
466;'SORVETES IGARAPE';'SAO PAULO';'SP';'C'
467;'SOUZA CRUZ/RIO JAN';'Rio de Janeiro';'RJ';'A'
468;'SOUZA CRUZ/STA CRU';'SANTA CRUZ DO SUL';'RS';'C'
470;'STA MARINA/SAO VIC';'SAO VICENTE';'SP';'C'
471;'STAHL_BRASIL';'PORTAO';'RS';'A'
473;'LAB_STIEFEL';'GUARULHOS';'SP';'A'
474;'STOCKY_EQUIP_CIENTIFICOS';'Rio de Janeiro';'RJ';'C'
475;'SUNMOON';'SAO PAULO';'SP';'C'
477;'SUZANO1';'SUZANO';'SP';'C'
478;'HAVELLS/SYLVANIA_ILUMINACAO';'SAO PAULO';'SP';'A'
480;'TECNAL_EQUIP';'Piracicaba';'SP';'A'
481;'TECNICHROM';'PAULINIA';'SP';'C'
482;'TECNO SOLO';'SALVADOR';'BA';'C'
483;'TECNOSUL';'SAO PAULO';'SP';'C'
484;'TELCON';'SAO JOSE DOS CAMPOS';'SP';'C'
485;'TERENZI';'SAO PAULO';'SP';'C'
486;'TERRA';'SAO PAULO';'SP';'C'
487;'TEXACO/SCS';'Sao Caetano do Sul';'SP';'A'
488;'THERIAGA';'FORMOSA';'AM';'C'
491;'TINTAS_DA_TERRA';'SAO PAULO';'SP';'C'
492;'TJ MAT CONSTRUCOES';'BELEM';'PA';'C'
493;'TOMA';'SAO PAULO';'SP';'C'
494;'TOXIKON';'SAO PAULO';'SP';'C'
495;'TRIKEM_MACEIO';'MACEIO';'AL';'A'
496;'UBERMINAS';'UBERLANDIA';'MG';'A'
499;'UF/PB';'JOAO PESSOA';'PB';'C'
507;'ULTRA_PROD_ANALITICOS';'TAUBATE';'SP';'C'
509;'ULTRAGAZ';'MAUA';'SP';'C'
511;'UNIAO SAO PAULO';'RAFARD';'SP';'C'
512;'UNICAMP_10';'Campinas';'SP';'C'
513;'UNICAMP_QUIMICA';'CAMPINAS';'SP';'A'
515;'UNION/CUBATAO';'CUBATAO';'SP';'C'
517;'USP CONSTRUCOES';'JUNDIAI';'SP';'C'
523;'FMUSP_2';'Sao Paulo';'SP';'A'
527;'VALEO';'Itatiba';'SP';'A'
528;'VASP';'Sao Paulo';'SP';'C'
529;'VECTOR LINE';'RIO DE JANEIRO';'RJ';'C'
530;'VELMON';'MARINGA';'PR';'C'
531;'VEPE_IND_ALIM';'S. BERNARDO DO CAMPO';'SP';'C'
532;'VERITAS';'SAO PAULO';'SP';'C'
533;'VIDEOLAR';'Barueri';'SP';'A'
534;'VIDROQUIMICA';'RIO DE JANEIRO';'RJ';'C'
535;'BORRACHAS_VIPAL_RS';'Nova Prata';'RS';'A'
536;'VISCOFAN_ERMELINO_MATARAZZO';'Sao Paulo';'SP';'A'
537;'VITRUM';'RIO DE JANEIRO';'RJ';'C'
538;'VOTORANTIM_FIBRIA_JACAREI';'JACAREI';'SP';'A'
540;'WACKER_QUIMICA';'JANDIRA';'SP';'A'
541;'CADBURY_ADAMS_BRASIL';'Bauru';'SP';'A'
542;'WHITE CAP';'SAO BERNARDO DO CAMPO';'SP';'C'
543;'WHITE_MARTINS_OSASCO';'Osasco';'SP';'A'
544;'WHITE-RIO';'RIO DE JANEIRO';'RJ';'A'
546;'ZENECA/COTIA';'COTIA';'SP';'C'
547;'ZIEMANN_MAQ_EQUIPAMENTOS';'Canoas';'RS';'A'
549;'SCHMIDT';'PALMAS';'TO';'A'
551;'NESTLE/CACAPAVA';'Cacapava';'SP';'C'
552;'PROCTER_BRASIL/SP';'Sao Paulo';'SP';'A'
